Model Name,Girder Type,Nb,L,S,w_oh,ts_U,ts_O,fc_deck,fc_girder,rail_left,rail_right,b_rail_left,b_rail_right,o_rail_left,o_rail_right,q_rail_left,q_rail_right,G1 - max_axial,G1 - max_shear,G1 - max_lat_shear,G1 - max_torsion,G1 - max_bm,G1 - max_lat_bm,G2 - max_axial,G2 - max_shear,G2 - max_lat_shear,G2 - max_torsion,G2 - max_bm,G2 - max_lat_bm,G3 - max_axial,G3 - max_shear,G3 - max_lat_shear,G3 - max_torsion,G3 - max_bm,G3 - max_lat_bm,G4 - max_axial,G4 - max_shear,G4 - max_lat_shear,G4 - max_torsion,G4 - max_bm,G4 - max_lat_bm,G1-A1-X,G2-A1-X,G3-A1-X,G4-A1-X,G1-A2-X,G2-A2-X,G3-A2-X,G4-A2-X,G1-A1-Y,G2-A1-Y,G3-A1-Y,G4-A1-Y,G1-A2-Y,G2-A2-Y,G3-A2-Y,G4-A2-Y,G1-A1-Z,G2-A1-Z,G3-A1-Z,G4-A1-Z,G1-A2-Z,G2-A2-Z,G3-A2-Z,G4-A2-Z
Tx28-L_45-Nb_4-S_60-O_15-ts_85,Tx28,4,540,72,18,8.5,8.5,4000,7000,Yes,No,20,20,1.5,1.5,4.166666667,4.166666667,11106.43457,14188.41309,4138.984375,313994.2813,1620299,273630.25,-199.7817078,4409.890137,976.2820435,219846.2188,906814.6875,2267.990234,-40.04139328,1201.30896,2917.465576,85735.04688,283061.875,2761.78125,7097.583008,247.9297791,1892.141113,38494.46875,1789.648682,1386.34375,0,0,0,0,0,0,0,0,20446.28906,2174.157715,880.4406738,-1000.869019,20446.28906,2174.157715,880.4406738,-1000.869019,0,0,0,0,0,0,0,0
Tx28-L_45-Nb_4-S_60-O_15-ts_100,Tx28,4,540,72,18,10,10,4000,7000,Yes,No,20,20,1.5,1.5,4.166666667,4.166666667,9621.568359,13798.70313,3900.307129,310212.0625,1559430.375,283902.25,-170.3024597,4600.661133,790.9558716,227783.1563,918695.75,2253.960938,-31.38097954,1441.088623,2654.155273,103628.125,318321.9063,2659.771484,6058.146484,191.2963715,1690.031128,52744.95313,3178.888672,1337.681641,0,0,0,0,0,0,0,0,20439.31836,2286.802246,1138.782471,-1364.887085,20439.32031,2286.802246,1138.782349,-1364.887085,0,0,0,0,0,0,0,0
Tx28-L_45-Nb_4-S_60-O_20-ts_85,Tx28,4,540,72,24,8.5,8.5,4000,7000,Yes,No,20,20,1.5,1.5,4.166666667,4.166666667,11492.68848,15075.86914,3370.70874,325316.2813,1711276.375,130805.6406,-214.7553101,4104.849609,1202.854614,228906.6875,870082.875,2278.375,-37.22043228,1031.05481,2565.185791,81136.60938,252175.25,2642.563477,6696.941895,163.3466797,1894.340332,36276.66406,1634.368896,1241.575195,0,0,0,0,0,0,0,0,21913.64258,828.2450562,829.6896973,-1071.558472,21913.64258,828.2451172,829.6896973,-1071.558472,0,0,0,0,0,0,0,0
Tx28-L_45-Nb_4-S_60-O_20-ts_100,Tx28,4,540,72,24,10,10,4000,7000,Yes,No,20,20,1.5,1.5,4.166666667,4.166666667,9710.714844,14637.47363,3088.350342,318860.2188,1643859.625,143750.7813,-181.4363251,4363.001465,979.946167,237774.2031,888692.625,2299.256836,-29.75027275,1266.244629,2250.517822,100218.9844,288855.25,2559.125,5506.444824,276.0966797,1653.417969,51720.33984,2988.53418,1196.28125,0,0,0,0,0,0,0,0,21906.93164,970.4278564,1079.834351,-1457.175049,21906.93164,970.4278564,1079.834351,-1457.175049,0,0,0,0,0,0,0,0
Tx28-L_45-Nb_4-S_60-O_25-ts_85,Tx28,4,540,72,30,8.5,8.5,4000,7000,Yes,No,20,20,1.5,1.5,4.166666667,4.166666667,12120.75781,15961.67285,2482.467529,331155.9688,1801474.25,1209.061523,-233.872879,3963.508545,1566.477905,238845.9531,834043.1875,2202.536133,-34.81883621,852.9841919,2179.895508,76978.15625,221453.4688,2506.96875,6229.80127,275.0438843,1912.135498,33073.79688,1481.252686,1038.21875,0,0,0,0,0,0,0,0,23365.48047,-483.8256836,757.1815186,-1138.819458,23365.48047,-483.8256836,757.1815186,-1138.819336,0,0,0,0,0,0,0,0
Tx28-L_45-Nb_4-S_60-O_25-ts_100,Tx28,4,540,72,30,10,10,4000,7000,Yes,No,20,20,1.5,1.5,4.166666667,4.166666667,10048.29004,15476.47266,2172.844238,321791.9688,1727583.25,1153.65918,-196.3213501,4213.313477,1272.22644,248676.6406,859677.8125,2268.320313,-28.53096008,1081.151245,1821.86084,97306.59375,259468.875,2446.75,4903.465332,406.6126404,1633.306519,49330.58594,2798.203125,985.703125,0,0,0,0,0,0,0,0,23350.63086,-294.3367615,988.1116943,-1544.389038,23350.63086,-294.3366394,988.1116943,-1544.38916,0,0,0,0,0,0,0,0
Tx28-L_45-Nb_4-S_60-O_30-ts_85,Tx28,4,540,72,36,8.5,8.5,4000,7000,Yes,No,20,20,1.5,1.5,4.166666667,4.166666667,12945.81543,16851.54492,1512.240479,333778.9063,1889184.5,-1229.537109,-254.9959564,3824.301514,2062.250732,249578.9375,799299,2090.3125,-32.42140579,676.2158203,1768.850464,73206.20313,191349.6719,2364.978516,5699.896484,387.2070313,1938.368896,29397.92969,1334.311035,791.78125,0,0,0,0,0,0,0,0,24814.84375,-1793.459595,684.1727905,-1205.537964,24814.84375,-1793.459595,684.1727905,-1205.537964,0,0,0,0,0,0,0,0
Tx28-L_45-Nb_4-S_60-O_30-ts_100,Tx28,4,540,72,36,10,10,4000,7000,Yes,No,20,20,1.5,1.5,4.166666667,4.166666667,10585.85254,16318.17188,1189.935181,321660.25,1808623.75,-1086.375977,-212.9524536,4128.997559,1711.752319,260354.1094,832065.6875,2207.116211,-27.25896645,897.1072998,1393.386108,94761.71875,230735.3906,2331.71875,4254.109863,537.8533325,1623.766235,46277.46875,2612.21875,724.046875,0,0,0,0,0,0,0,0,24790.32617,-1553.139893,893.5369873,-1630.705811,24790.32617,-1553.139893,893.5369873,-1630.705933,0,0,0,0,0,0,0,0
Tx28-L_45-Nb_4-S_60-O_35-ts_85,Tx28,4,540,72,42,8.5,8.5,4000,7000,Yes,No,20,20,1.5,1.5,4.166666667,4.166666667,13952.89551,17726.52344,538.8538208,333324.1875,1974578,-3614.53125,-276.8768005,3686.645508,2713.332031,261019.6875,765940,1965.96875,-29.98583031,501.1286926,1470.63269,70313.42969,161812.8906,2222.861328,5121.682129,496.7227478,1970.681763,25268.42188,1193.237305,522.4375,0,0,0,0,0,0,0,0,26261.39648,-3101.167969,611.5473022,-1271.758545,26261.39648,-3101.167725,611.5472412,-1271.758545,0,0,0,0,0,0,0,0
Tx28-L_45-Nb_4-S_60-O_35-ts_100,Tx28,4,540,72,42,10,10,4000,7000,Yes,No,20,20,1.5,1.5,4.166666667,4.166666667,11303.91309,17145.55469,323.1384277,318680.4375,1887117,-3231.59375,-230.2129669,4045.946533,2307.558594,272709.4063,805908.875,2137.300781,-25.90764999,715.0169067,1071.517334,92532.73438,202636.4063,2219.53125,3571.473389,666.1504517,1622.992432,42608.04688,2432.641602,435.5615234,0,0,0,0,0,0,0,0,26227.16992,-2809.459717,798.7824097,-1716.475586,26227.16992,-2809.459717,798.7824097,-1716.475342,0,0,0,0,0,0,0,0
